state	C__sierra_leone	R0__sierra_leone	phi__sierra_leone	rho__sierra_leone
13844	108.69	1.39297	0.181836	0.450547
13845	117.019	1.38491	0.151116	0.444974
13846	117.019	1.38491	0.151116	0.444974
13847	118.285	1.34575	0.179631	0.446223
13848	129.161	1.35015	0.121414	0.383333
13849	105.22	1.32902	0.141274	0.528623
13850	105.22	1.32902	0.141274	0.528623
13851	130.107	1.28035	0.192851	0.485884
13852	103.457	1.37218	0.242821	0.451594
13853	92.2701	1.33811	0.156334	0.546157
13854	83.3101	1.30242	0.281059	0.652827
13855	83.3101	1.30242	0.281059	0.652827
13856	112.309	1.26764	0.213219	0.625901
13857	112.309	1.26764	0.213219	0.625901
13858	81.0769	1.30366	0.179837	0.684586
13859	86.2788	1.32232	0.158239	0.704148
13860	86.2788	1.32232	0.158239	0.704148
13861	86.2788	1.32232	0.158239	0.704148
13862	91.1658	1.36343	0.158701	0.599107
13863	81.1003	1.37934	0.172319	0.551133
13864	111.803	1.25893	0.239787	0.517862
13865	72.9067	1.3971	0.261334	0.604716
13866	72.9067	1.3971	0.261334	0.604716
13867	72.0531	1.35053	0.224921	0.674778
13868	100.373	1.28528	0.237936	0.559962
13869	121.394	1.36761	0.201151	0.385508
13870	78.6661	1.35802	0.197979	0.571828
13871	78.6661	1.35802	0.197979	0.571828
13872	85.7709	1.40378	0.21873	0.543791
13873	114.573	1.31482	0.236174	0.48691
13874	116.358	1.37103	0.207978	0.420943
13875	119.508	1.35675	0.211765	0.479443
13876	77.1022	1.37759	0.222463	0.680924
13877	115.262	1.26178	0.246646	0.564254
13878	107.917	1.34076	0.177764	0.474142
13879	112.061	1.35083	0.180775	0.464098
13880	117.545	1.34499	0.1595	0.466714
13881	117.545	1.34499	0.1595	0.466714
13882	96.756	1.39069	0.189412	0.503154
13883	74.9209	1.38628	0.142423	0.642696
13884	101.986	1.36714	0.141189	0.477067
13885	97.1203	1.32647	0.160768	0.581287
13886	97.1203	1.32647	0.160768	0.581287
13887	81.434	1.36369	0.16758	0.631513
13888	87.8806	1.33509	0.134289	0.625958
13889	87.8806	1.33509	0.134289	0.625958
13890	92.0647	1.34219	0.192335	0.575499
13891	70.8045	1.39167	0.24728	0.635237
13892	70.8045	1.39167	0.24728	0.635237
13893	107.166	1.34967	0.160009	0.469776
13894	83.3387	1.3423	0.201962	0.672604
13895	98.459	1.3066	0.185048	0.524436
13896	94.3253	1.38704	0.209691	0.540497
13897	135.391	1.33805	0.185362	0.434213
13898	104.299	1.32906	0.174253	0.586749
13899	121.53	1.28347	0.205773	0.498534
13900	103.872	1.29036	0.171949	0.533525
13901	103.872	1.29036	0.171949	0.533525
13902	98.064	1.29394	0.119689	0.638567
13903	122.511	1.32233	0.12663	0.456513
13904	105.493	1.32593	0.148935	0.489671
13905	102.808	1.40389	0.201234	0.448466
13906	89.7587	1.3513	0.278071	0.516208
13907	89.7587	1.3513	0.278071	0.516208
13908	89.7587	1.3513	0.278071	0.516208
13909	74.6421	1.36975	0.222164	0.728739
13910	73.5294	1.33929	0.152685	0.755785
13911	82.14	1.29876	0.1742	0.642877
13912	79.0994	1.30901	0.218091	0.695613
13913	79.0994	1.30901	0.218091	0.695613
13914	91.4363	1.29827	0.287679	0.64272
13915	122.257	1.33959	0.271088	0.468546
13916	78.3528	1.2424	0.290794	0.687459
13917	118.98	1.30809	0.254154	0.440522
13918	133.766	1.26576	0.243009	0.544953
13919	139.826	1.32796	0.161285	0.432136
13920	145.083	1.33724	0.239346	0.380527
13921	120.141	1.30843	0.174125	0.504609
13922	155.634	1.33223	0.196931	0.343921
13923	131.648	1.34792	0.193357	0.359339
13924	81.061	1.39721	0.207653	0.555286
13925	78.1567	1.38083	0.193848	0.62404
13926	87.6194	1.30938	0.186943	0.654105
13927	82.5823	1.35607	0.119383	0.614729
13928	93.0667	1.34332	0.132369	0.591172
13929	85.2904	1.34672	0.184523	0.611594
13930	85.2904	1.34672	0.184523	0.611594
13931	85.2904	1.34672	0.184523	0.611594
13932	85.2904	1.34672	0.184523	0.611594
13933	85.2904	1.34672	0.184523	0.611594
13934	85.2904	1.34672	0.184523	0.611594
13935	73.9884	1.35116	0.182863	0.629183
13936	73.9884	1.35116	0.182863	0.629183
13937	73.9884	1.35116	0.182863	0.629183
13938	79.6668	1.31631	0.189839	0.715663
13939	94.1325	1.38292	0.181715	0.493416
13940	94.1325	1.38292	0.181715	0.493416
13941	100.905	1.37526	0.15263	0.465046
13942	100.905	1.37526	0.15263	0.465046
13943	100.905	1.37526	0.15263	0.465046
13944	100.905	1.37526	0.15263	0.465046
13945	76.5161	1.33268	0.212384	0.658164
13946	81.9584	1.34807	0.245026	0.628542
13947	76.7068	1.28785	0.195814	0.763624
13948	76.7068	1.28785	0.195814	0.763624
13949	70.7782	1.37764	0.119969	0.637299
13950	70.7782	1.37764	0.119969	0.637299
13951	89.2642	1.36616	0.0953888	0.534665
13952	118.382	1.29664	0.316203	0.447523
13953	87.7801	1.23927	0.307599	0.647294
13954	74.5786	1.3526	0.27963	0.636136
13955	98.4464	1.32363	0.281703	0.513466
13956	126.586	1.26894	0.333202	0.45216
13957	128.233	1.27877	0.315618	0.485855
13958	161.613	1.33097	0.201141	0.369033
13959	169.075	1.36345	0.126018	0.308682
13960	166.906	1.3995	0.13179	0.287203
13961	170.437	1.38804	0.147319	0.292795
13962	175.737	1.31366	0.18186	0.313833
13963	164.331	1.31559	0.141799	0.369358
13964	155.649	1.3075	0.116145	0.371129
13965	82.1393	1.38827	0.209692	0.571758
13966	70.2223	1.4073	0.159265	0.674049
13967	100.298	1.39111	0.186387	0.48369
13968	85.2284	1.37483	0.268031	0.591356
13969	66.6348	1.32623	0.33288	0.727739
13970	71.7297	1.38815	0.26024	0.618227
13971	79.8257	1.42351	0.175962	0.523364
13972	76.95	1.4239	0.165231	0.556719
13973	85.6132	1.36592	0.141774	0.591984
13974	67.3285	1.38063	0.197008	0.631805
13975	97.8338	1.32683	0.28715	0.58609
13976	127.411	1.29725	0.262098	0.427201
13977	127.411	1.29725	0.262098	0.427201
13978	63.9955	1.34603	0.233181	0.815494
13979	61.4332	1.41241	0.237889	0.772423
13980	60.3695	1.46362	0.326026	0.672736
13981	60.3695	1.46362	0.326026	0.672736
13982	68.7623	1.44269	0.230283	0.601606
13983	88.0391	1.3947	0.167507	0.572474
13984	105.55	1.3345	0.148201	0.501704
13985	105.55	1.3345	0.148201	0.501704
13986	105.55	1.3345	0.148201	0.501704
13987	118.084	1.32563	0.1647	0.464934
13988	76.1512	1.36226	0.193278	0.704968
13989	76.1512	1.36226	0.193278	0.704968
13990	61.8456	1.36634	0.172225	0.757883
13991	63.5713	1.34824	0.15159	0.747454
13992	107.12	1.33328	0.129113	0.497583
13993	107.12	1.33328	0.129113	0.497583
13994	107.12	1.33328	0.129113	0.497583
13995	107.12	1.33328	0.129113	0.497583
13996	107.12	1.33328	0.129113	0.497583
13997	107.12	1.33328	0.129113	0.497583
13998	106.106	1.28386	0.181799	0.545652
13999	68.2366	1.41078	0.215571	0.685997
14000	83.3962	1.33523	0.267048	0.642129
14001	76.0292	1.36579	0.287005	0.633222
14002	76.0292	1.36579	0.287005	0.633222
14003	110.57	1.31888	0.188154	0.577138
14004	136.571	1.36421	0.22946	0.383913
14005	132.041	1.36216	0.196262	0.394544
14006	156.96	1.29632	0.171741	0.404562
14007	164.683	1.31643	0.138063	0.351383
14008	78.5787	1.32926	0.17183	0.736944
14009	85.4406	1.32027	0.155954	0.624601
14010	85.4406	1.32027	0.155954	0.624601
14011	85.4406	1.32027	0.155954	0.624601
14012	85.4406	1.32027	0.155954	0.624601
14013	107.491	1.35113	0.2458	0.519797
14014	86.2224	1.28527	0.229298	0.758146
14015	75.183	1.37168	0.172372	0.731603
14016	122.877	1.27159	0.236371	0.524744
14017	106.505	1.2662	0.198698	0.589963
14018	111.27	1.38262	0.127447	0.442703
14019	100.093	1.38907	0.159451	0.466031
14020	100.093	1.38907	0.159451	0.466031
14021	102.563	1.31245	0.132588	0.561999
14022	102.563	1.31245	0.132588	0.561999
14023	82.3481	1.38085	0.246165	0.606101
14024	67.5997	1.36771	0.157725	0.719874
14025	90.245	1.32366	0.254518	0.597578
14026	133.766	1.28533	0.199385	0.46833
14027	122.265	1.32134	0.210601	0.461195
14028	122.265	1.32134	0.210601	0.461195
14029	122.265	1.32134	0.210601	0.461195
14030	107.768	1.34598	0.175187	0.477201
14031	110.858	1.33534	0.114485	0.482556
14032	88.9903	1.2965	0.154945	0.659025
14033	88.9903	1.2965	0.154945	0.659025
14034	72.7956	1.2842	0.133424	0.772746
14035	75.3083	1.33696	0.269233	0.675652
14036	75.3083	1.33696	0.269233	0.675652
14037	58.2847	1.38698	0.324198	0.692087
14038	86.2923	1.30537	0.18912	0.705525
14039	86.2923	1.30537	0.18912	0.705525
14040	107.726	1.35701	0.250966	0.470425
14041	107.726	1.35701	0.250966	0.470425
14042	77.369	1.37609	0.271869	0.575925
14043	77.369	1.37609	0.271869	0.575925
14044	77.369	1.37609	0.271869	0.575925
14045	72.6069	1.31703	0.2203	0.7097
14046	68.4875	1.38918	0.240001	0.63841
14047	77.6246	1.36008	0.1864	0.582762
14048	84.1182	1.31402	0.196838	0.589381
